"","Portfolio Name","Security ID","Type","Quantity","Price","Date"
"282","DHARMA STRATEGY","XSDR GY Equity","",5200,"",2015-06-26
"283","DHARMA STRATEGY","PHIA NA Equity","",12000,"",2015-06-26
"284","DHARMA STRATEGY","AIR FP Equity","",7000,"",2015-06-26
"285","DHARMA STRATEGY","LYB US Equity","",4300,"",2015-06-26
"286","DHARMA STRATEGY","AD NA Equity","",34520,"",2015-06-26
"287","DHARMA STRATEGY","ATCOA SS Equity","",14000,"",2015-06-26
"288","DHARMA STRATEGY","ABBV US Equity","",3300,"",2015-06-26
"289","DHARMA STRATEGY","AAPL US Equity","",2402,"",2015-06-26
"290","DHARMA STRATEGY","AMAT US Equity","",20500,"",2015-06-26
"291","DHARMA STRATEGY","BAX US Equity","",11650,"",2015-06-26
"292","DHARMA STRATEGY","BA US Equity","",7100,"",2015-06-26
"293","DHARMA STRATEGY","CA US Equity","",33700,"",2015-06-26
"294","DHARMA STRATEGY","CAT US Equity","",11700,"",2015-06-26
"295","DHARMA STRATEGY","CVX US Equity","",6039,"",2015-06-26
"296","DHARMA STRATEGY","CSCO US Equity","",16000,"",2015-06-26
"297","DHARMA STRATEGY","TPR US Equity","",10800,"",2015-06-26
"298","DHARMA STRATEGY","COP US Equity","",4882,"",2015-06-26
"299","DHARMA STRATEGY","GLW US Equity","",49750,"",2015-06-26
"300","DHARMA STRATEGY","DE US Equity","",8500,"",2015-06-26
"301","DHARMA STRATEGY","DOW US Equity","",7700,"",2015-06-26
"302","DHARMA STRATEGY","EMR US Equity","",3000,"",2015-06-26
"303","DHARMA STRATEGY","INTC US Equity","",31100,"",2015-06-26
"304","DHARMA STRATEGY","JNJ US Equity","",10050,"",2015-06-26
"305","DHARMA STRATEGY","KLAC US Equity","",7900,"",2015-06-26
