"","Portfolio Name","Security ID","Type","Quantity","Price","Date"
"15109","DHARMA EQ","TEC FP Equity","",5000,"",2016-06-06
"15110","DHARMA EQ","SCR FP Equity","",16500,"",2016-06-06
"15111","DHARMA EQ","ADN LN Equity","",150000,"",2016-06-06
"15112","DHARMA EQ","BLT LN Equity","",36054,"",2016-06-06
"15113","DHARMA EQ","BA/ LN Equity","",50000,"",2016-06-06
"15114","DHARMA EQ","BT/A LN Equity","",134000,"",2016-06-06
"15115","DHARMA EQ","NXT LN Equity","",4200,"",2016-06-06
"15116","DHARMA EQ","SBRY LN Equity","",155000,"",2016-06-06
"15117","DHARMA EQ","RDSA NA Equity","",7600,"",2016-06-06
"15118","DHARMA EQ","ESV US Equity","",9600,"",2016-06-06
"15119","DHARMA EQ","EUN2 GY Equity","",33000,"",2016-06-06
"15120","DHARMA EQ","IUKD LN Equity","",40000,"",2016-06-06
"15121","DHARMA EQ","STX US Equity","",21100,"",2016-06-06
"15122","DHARMA EQ","SPY5 LN Equity","",8000,"",2016-06-06
"15123","DHARMA EQ","ETN US Equity","",10000,"",2016-06-06
"15124","DHARMA EQ","XDWF GY Equity","",39274.028,"",2016-06-06
"15125","DHARMA EQ","XSMI SW Equity","",11000,"",2016-06-06
"15126","DHARMA EQ","XSDR GY Equity","",5200,"",2016-06-06
"15127","DHARMA EQ","XSX6 GY Equity","",12000,"",2016-06-06
"15128","DHARMA EQ","AIR FP Equity","",16000,"",2016-06-06
"15129","DHARMA EQ","LYB US Equity","",7100,"",2016-06-06
"15130","DHARMA EQ","ATCOA SS Equity","",11100,"",2016-06-06
"15131","DHARMA EQ","ABBV US Equity","",12600,"",2016-06-06
"15132","DHARMA EQ","AAPL US Equity","",6402,"",2016-06-06
"15133","DHARMA EQ","AMAT US Equity","",30700,"",2016-06-06
"15134","DHARMA EQ","BAX US Equity","",12000,"",2016-06-06
"15135","DHARMA EQ","BA US Equity","",4550,"",2016-06-06
"15136","DHARMA EQ","CA US Equity","",15700,"",2016-06-06
"15137","DHARMA EQ","CAT US Equity","",3850,"",2016-06-06
"15138","DHARMA EQ","CVX US Equity","",3839,"",2016-06-06
"15139","DHARMA EQ","CSCO US Equity","",16000,"",2016-06-06
"15140","DHARMA EQ","TPR US Equity","",21600,"",2016-06-06
"15141","DHARMA EQ","GLW US Equity","",37500,"",2016-06-06
"15142","DHARMA EQ","DE US Equity","",8500,"",2016-06-06
"15143","DHARMA EQ","DOW US Equity","",11583,"",2016-06-06
"15144","DHARMA EQ","EMR US Equity","",12000,"",2016-06-06
"15145","DHARMA EQ","GM US Equity","",15000,"",2016-06-06
"15146","DHARMA EQ","INTC US Equity","",24000,"",2016-06-06
"15147","DHARMA EQ","JNJ US Equity","",7000,"",2016-06-06
"15148","DHARMA EQ","KLAC US Equity","",4000,"",2016-06-06
"15149","DHARMA EQ","LRCX US Equity","",5500,"",2016-06-06
