"","PortfolioName","SecurityId","Quantity","Price","Date","Cost"
"315","DEQ","BA/ LN Equity",64000,0,2015-06-26,NA
"316","DEQ","MRW LN Equity",1e+05,0,2015-06-26,NA
"317","DEQ","BP/ LN Equity",87832,0,2015-06-26,NA
"318","DEQ","BT/A LN Equity",69500,0,2015-06-26,NA
"319","DEQ","KGF LN Equity",55000,0,2015-06-26,NA
"320","DEQ","SBRY LN Equity",105000,0,2015-06-26,NA
"321","DEQ","SMIN LN Equity",10000,0,2015-06-26,NA
"322","DEQ","RB/ LN Equity",4530,0,2015-06-26,NA
"323","DEQ","ESV US Equity",8000,0,2015-06-26,NA
"324","DEQ","STX US Equity",21100,0,2015-06-26,NA
"325","DEQ","XSMI SW Equity",11000,0,2015-06-26,NA
"326","DEQ","XSDR GY Equity",5200,0,2015-06-26,NA
"327","DEQ","PHIA NA Equity",12000,0,2015-06-26,NA
"328","DEQ","AIR FP Equity",7000,0,2015-06-26,NA
"329","DEQ","LYB US Equity",4300,0,2015-06-26,NA
"330","DEQ","AD NA Equity",34520,0,2015-06-26,NA
"331","DEQ","ATCOA SS Equity",14000,0,2015-06-26,NA
"332","DEQ","ABBV US Equity",3300,0,2015-06-26,NA
"333","DEQ","AAPL US Equity",2402,0,2015-06-26,NA
"334","DEQ","AMAT US Equity",20500,0,2015-06-26,NA
"335","DEQ","BAX US Equity",11650,0,2015-06-26,NA
"336","DEQ","BA US Equity",7100,0,2015-06-26,NA
"337","DEQ","CA US Equity",33700,0,2015-06-26,NA
"338","DEQ","CAT US Equity",11700,0,2015-06-26,NA
"339","DEQ","CVX US Equity",6039,0,2015-06-26,NA
"340","DEQ","CSCO US Equity",16000,0,2015-06-26,NA
"341","DEQ","TPR US Equity",10800,0,2015-06-26,NA
"342","DEQ","COP US Equity",4882,0,2015-06-26,NA
"343","DEQ","GLW US Equity",49750,0,2015-06-26,NA
"344","DEQ","DE US Equity",8500,0,2015-06-26,NA
"345","DEQ","DOW US Equity",7700,0,2015-06-26,NA
"346","DEQ","EMR US Equity",3000,0,2015-06-26,NA
"347","DEQ","INTC US Equity",31100,0,2015-06-26,NA
"348","DEQ","JNJ US Equity",10050,0,2015-06-26,NA
"349","DEQ","KLAC US Equity",7900,0,2015-06-26,NA
"350","DEQ","LMT US Equity",3800,0,2015-06-26,NA
"351","DEQ","MRK US Equity",13750,0,2015-06-26,NA
"352","DEQ","MSFT US Equity",22050,0,2015-06-26,NA
"353","DEQ","NOC US Equity",1300,0,2015-06-26,NA
"354","DEQ","OXY US Equity",3399,0,2015-06-26,NA
"355","DEQ","PFE US Equity",10000,0,2015-06-26,NA
"356","DEQ","QCOM US Equity",15150,0,2015-06-26,NA
"357","DEQ","RTN US Equity",3400,0,2015-06-26,NA
"358","DEQ","STO US Equity",43299,0,2015-06-26,NA
"359","DEQ",".TFCFEES FP Equity",-1,16194.35,2015-06-26,NA
"360","DEQ","CAD Curncy",0,0,2015-06-26,NA
"361","DEQ","CHF Curncy",0,0,2015-06-26,NA
"362","DEQ","DKK Curncy",0,0,2015-06-26,NA
"363","DEQ","EUR Curncy",136730.09,0,2015-06-26,NA
"364","DEQ","GBP Curncy",2271.98,0,2015-06-26,NA
"365","DEQ","SEK Curncy",0,0,2015-06-26,NA
"366","DEQ","USD Curncy",1680015.68,0,2015-06-26,NA
"367","DEQ",".TAX_CHF LX Equity",-1,0,2015-06-26,NA
"368","DEQ",".TAX_EUR LX Equity",-1,0,2015-06-26,NA
"369","DEQ",".TAX_USD LX Equity",-1,0,2015-06-26,NA
"370","DEQ","SOLB BB Equity",1850,0,2015-06-29,NA
"371","DEQ","POT CN Equity",15450,0,2015-06-29,NA
"372","DEQ","SYNN SW Equity",1400,0,2015-06-29,NA
"373","DEQ","ABBN SW Equity",21300,0,2015-06-29,NA
"374","DEQ","NESN SW Equity",8800,0,2015-06-29,NA
"375","DEQ","BMW GY Equity",7400,0,2015-06-29,NA
"376","DEQ","SIE GY Equity",6100,0,2015-06-29,NA
