"","PortfolioName","SecurityId","Quantity","Price","Date"
"209","DHARMA EQ",".TFCFEES FP Equity",-1,8951.56,2015-06-22
"210","DHARMA EQ","CAD Curncy",0,0,2015-06-22
"211","DHARMA EQ","CHF Curncy",0,0,2015-06-22
"212","DHARMA EQ","EUR Curncy",143761.45,0,2015-06-22
"213","DHARMA EQ","GBP Curncy",-2727.32000000001,0,2015-06-22
"214","DHARMA EQ","SEK Curncy",0,0,2015-06-22
"215","DHARMA EQ","USD Curncy",1674181.88,0,2015-06-22
"216","DHARMA EQ",".TAX_CHF LX Equity",-1,0,2015-06-22
"217","DHARMA EQ",".TAX_EUR LX Equity",-1,0,2015-06-22
"218","DHARMA EQ",".TAX_USD LX Equity",-1,0,2015-06-22
"219","DHARMA EQ","SOLB BB Equity",1850,0,2015-06-25
"220","DHARMA EQ","POT CN Equity",15450,0,2015-06-25
"221","DHARMA EQ","SYNN SW Equity",1400,0,2015-06-25
"222","DHARMA EQ","ABBN SW Equity",21300,0,2015-06-25
"223","DHARMA EQ","NESN SW Equity",8800,0,2015-06-25
"224","DHARMA EQ","BMW GY Equity",7400,0,2015-06-25
"225","DHARMA EQ","SIE GY Equity",6100,0,2015-06-25
"226","DHARMA EQ","VOW3 GY Equity",2000,0,2015-06-25
"227","DHARMA EQ","SX6PEX GY Equity",14800,0,2015-06-25
"228","DHARMA EQ","BAS GY Equity",10900,0,2015-06-25
"229","DHARMA EQ","BAYN GY Equity",2800,0,2015-06-25
"230","DHARMA EQ","CS FP Equity",20400,0,2015-06-25
"231","DHARMA EQ","MC FP Equity",2425,0,2015-06-25
"232","DHARMA EQ","ML FP Equity",9300,0,2015-06-25
"233","DHARMA EQ","CO FP Equity",3400,0,2015-06-25
"234","DHARMA EQ","SCR FP Equity",22000,0,2015-06-25
"235","DHARMA EQ","ADN LN Equity",150000,0,2015-06-25
"236","DHARMA EQ","BLT LN Equity",46054,0,2015-06-25
"237","DHARMA EQ","SKY LN Equity",14550,0,2015-06-25
"238","DHARMA EQ","BA/ LN Equity",64000,0,2015-06-25
"239","DHARMA EQ","MRW LN Equity",1e+05,0,2015-06-25
"240","DHARMA EQ","BP/ LN Equity",87832,0,2015-06-25
"241","DHARMA EQ","BT/A LN Equity",69500,0,2015-06-25
"242","DHARMA EQ","KGF LN Equity",55000,0,2015-06-25
"243","DHARMA EQ","SBRY LN Equity",105000,0,2015-06-25
"244","DHARMA EQ","SMIN LN Equity",10000,0,2015-06-25
"245","DHARMA EQ","RB/ LN Equity",4530,0,2015-06-25
"246","DHARMA EQ","ESV US Equity",8000,0,2015-06-25
"247","DHARMA EQ","STX US Equity",21100,0,2015-06-25
"248","DHARMA EQ","XSMI SW Equity",11000,0,2015-06-25
"249","DHARMA EQ","XSDR GY Equity",5200,0,2015-06-25
"250","DHARMA EQ","PHIA NA Equity",12000,0,2015-06-25
"251","DHARMA EQ","AIR FP Equity",7000,0,2015-06-25
"252","DHARMA EQ","LYB US Equity",4300,0,2015-06-25
"253","DHARMA EQ","AD NA Equity",34520,0,2015-06-25
"254","DHARMA EQ","ATCOA SS Equity",14000,0,2015-06-25
"255","DHARMA EQ","ABBV US Equity",3300,0,2015-06-25
"256","DHARMA EQ","AAPL US Equity",2402,0,2015-06-25
"257","DHARMA EQ","AMAT US Equity",20500,0,2015-06-25
"258","DHARMA EQ","BAX US Equity",11650,0,2015-06-25
