"","Portfolio Name","Security Ticker","Price","Date","Shares"
"148","DHARMA STRATEGY",".TFCFEES Equity",353732.2,2016-01-21,-1
"149","DHARMA STRATEGY",".TFCFEES Equity",355188.78,2016-01-22,-1
"150","DHARMA STRATEGY",".TFCFEES Equity",359498.67,2016-01-25,-1
"151","DHARMA STRATEGY",".TFCFEES Equity",361941.82,2016-01-26,-1
"152","DHARMA STRATEGY",".TFCFEES Equity",363375.62,2016-01-27,-1
"153","DHARMA STRATEGY",".TFCFEES Equity",364788.53,2016-01-28,-1
"154","DHARMA STRATEGY",".TFCFEES Equity",366290.65,2016-01-29,-1
"155","DHARMA STRATEGY",".TFCFEES Equity",372162.21,2016-02-01,-1
"156","DHARMA STRATEGY",".TFCFEES Equity",373531.83,2016-02-02,-1
"157","DHARMA STRATEGY",".TFCFEES Equity",374937.17,2016-02-03,-1
"158","DHARMA STRATEGY",".TFCFEES Equity",376277.79,2016-02-04,-1
"159","DHARMA STRATEGY",".TFCFEES Equity",377918.16,2016-02-05,-1
"160","DHARMA STRATEGY",".TFCFEES Equity",382013.03,2016-02-08,-1
"161","DHARMA STRATEGY",".TFCFEES Equity",383289.21,2016-02-09,-1
"162","DHARMA STRATEGY",".TFCFEES Equity",384618.95,2016-02-10,-1
"163","DHARMA STRATEGY",".TFCFEES Equity",385851.64,2016-02-11,-1
"164","DHARMA STRATEGY",".TFCFEES Equity",408108.64,2016-02-12,-1
"165","DHARMA STRATEGY",".TFCFEES Equity",412186.68,2016-02-15,-1
"166","DHARMA STRATEGY",".TFCFEES Equity",413551.57,2016-02-16,-1
"167","DHARMA STRATEGY",".TFCFEES Equity",415028.67,2016-02-17,-1
"168","DHARMA STRATEGY",".TFCFEES Equity",416449.81,2016-02-18,-1
"169","DHARMA STRATEGY",".TFCFEES Equity",417836.03,2016-02-19,-1
"170","DHARMA STRATEGY",".TFCFEES Equity",422043.68,2016-02-22,-1
"171","DHARMA STRATEGY",".TFCFEES Equity",423724.07,2016-02-23,-1
"172","DHARMA STRATEGY",".TFCFEES Equity",425238.11,2016-02-24,-1
"173","DHARMA STRATEGY",".TFCFEES Equity",426906.8,2016-02-25,-1
"174","DHARMA STRATEGY",".TFCFEES Equity",428536.99,2016-02-26,-1
"175","DHARMA STRATEGY",".TFCFEES Equity",433187.08,2016-02-29,-1
"176","DHARMA STRATEGY",".TFCFEES Equity",436182.49,2016-03-01,-1
"177","DHARMA STRATEGY",".TFCFEES Equity",437831.66,2016-03-02,-1
"178","DHARMA STRATEGY",".TFCFEES Equity",440549.75,2016-03-03,-1
"179","DHARMA STRATEGY",".TFCFEES Equity",442853.22,2016-03-04,-1
"180","DHARMA STRATEGY",".TFCFEES Equity",448036.24,2016-03-07,-1
"181","DHARMA STRATEGY",".TFCFEES Equity",449750.29,2016-03-08,-1
"182","DHARMA STRATEGY",".TFCFEES Equity",451518.18,2016-03-09,-1
