"","Portfolio Name","Security Ticker","Price","Date","Shares"
"127","DHARMA_TFC",".TFCFEES Equity",298891.01,2015-12-18,-1
"128","DHARMA_TFC",".TFCFEES Equity",303578.2,2015-12-21,-1
"129","DHARMA_TFC",".TFCFEES Equity",305257.79,2015-12-22,-1
"130","DHARMA_TFC",".TFCFEES Equity",306937.03,2015-12-23,-1
"131","DHARMA_TFC",".TFCFEES Equity",314785.81,2015-12-28,-1
"132","DHARMA_TFC",".TFCFEES Equity",316447.72,2015-12-29,-1
"133","DHARMA_TFC",".TFCFEES Equity",318014.82,2015-12-30,-1
"134","DHARMA_TFC",".TFCFEES Equity",319429.34,2015-12-31,-1
"135","DHARMA_TFC",".TFCFEES Equity",325478.1,2016-01-04,-1
"136","DHARMA_TFC",".TFCFEES Equity",327001.5,2016-01-05,-1
"137","DHARMA_TFC",".TFCFEES Equity",328469.53,2016-01-06,-1
"138","DHARMA_TFC",".TFCFEES Equity",329885.61,2016-01-07,-1
"139","DHARMA_TFC",".TFCFEES Equity",331273.29,2016-01-08,-1
"140","DHARMA_TFC",".TFCFEES Equity",335615.32,2016-01-11,-1
"141","DHARMA_TFC",".TFCFEES Equity",337036.71,2016-01-12,-1
"142","DHARMA_TFC",".TFCFEES Equity",338722.68,2016-01-13,-1
"143","DHARMA_TFC",".TFCFEES Equity",340208.4,2016-01-14,-1
"144","DHARMA_TFC",".TFCFEES Equity",341536.16,2016-01-15,-1
"145","DHARMA_TFC",".TFCFEES Equity",345866.16,2016-01-18,-1
"146","DHARMA_TFC",".TFCFEES Equity",347257.98,2016-01-19,-1
"147","DHARMA_TFC",".TFCFEES Equity",348606.73,2016-01-20,-1
"148","DHARMA_TFC",".TFCFEES Equity",350049.57,2016-01-21,-1
"149","DHARMA_TFC",".TFCFEES Equity",351506.15,2016-01-22,-1
"150","DHARMA_TFC",".TFCFEES Equity",355816.04,2016-01-25,-1
"151","DHARMA_TFC",".TFCFEES Equity",358259.19,2016-01-26,-1
"152","DHARMA_TFC",".TFCFEES Equity",359692.99,2016-01-27,-1
"153","DHARMA_TFC",".TFCFEES Equity",361105.9,2016-01-28,-1
"154","DHARMA_TFC",".TFCFEES Equity",362608.02,2016-01-29,-1
"155","DHARMA_TFC",".TFCFEES Equity",366884.23,2016-02-01,-1
"156","DHARMA_TFC",".TFCFEES Equity",368253.85,2016-02-02,-1
"157","DHARMA_TFC",".TFCFEES Equity",369659.19,2016-02-03,-1
"158","DHARMA_TFC",".TFCFEES Equity",370999.81,2016-02-04,-1
"159","DHARMA_TFC",".TFCFEES Equity",372640.18,2016-02-05,-1
"160","DHARMA_TFC",".TFCFEES Equity",376735.05,2016-02-08,-1
"161","DHARMA_TFC",".TFCFEES Equity",378011.23,2016-02-09,-1
"162","DHARMA_TFC",".TFCFEES Equity",379340.97,2016-02-10,-1
"163","DHARMA_TFC",".TFCFEES Equity",380573.66,2016-02-11,-1
"164","DHARMA_TFC",".TFCFEES Equity",381933.33,2016-02-12,-1
"165","DHARMA_TFC",".TFCFEES Equity",386011.37,2016-02-15,-1
"166","DHARMA_TFC",".TFCFEES Equity",387376.26,2016-02-16,-1
"167","DHARMA_TFC",".TFCFEES Equity",388853.36,2016-02-17,-1
