"","Date","NAV"
"136",2016-01-05,31336944.06
"137",2016-01-06,30788399.15
"138",2016-01-07,30004511.11
"139",2016-01-08,29391095.63
"140",2016-01-11,29346323.5
"141",2016-01-12,29621632.68
"142",2016-01-13,29317935.11
"143",2016-01-14,29468232.31
"144",2016-01-15,28605868.7
"145",2016-01-18,28653103.99
"146",2016-01-19,28670754.04
"147",2016-01-20,28143825.76
"148",2016-01-21,28631505.27
"149",2016-01-22,29237971.91
"150",2016-01-25,28801174.03
"151",2016-01-26,29267853.34
"152",2016-01-27,29170333.74
"153",2016-01-28,28920917.67
"154",2016-01-29,29712276.73
"155",2016-02-01,29614145.35
"156",2016-02-02,28481608.81
"157",2016-02-03,28359800.35
"158",2016-02-04,27573982.16
"159",2016-02-05,27341237.91
"160",2016-02-08,26713452.82
"161",2016-02-09,26294536.34
"162",2016-02-10,26554051.06
"163",2016-02-11,25736170.83
"164",2016-02-12,26484788.19
"165",2016-02-15,26824798.73
"166",2016-02-16,27064787.96
"167",2016-02-17,28119554.12
"168",2016-02-18,28215351.82
"169",2016-02-19,27984441.87
"170",2016-02-22,28483806.05
"171",2016-02-23,30390843.88
"172",2016-02-24,30180769.94
"173",2016-02-25,31196561.74
"174",2016-02-26,31603263.24
"175",2016-02-29,32463395.67
"176",2016-03-01,33075216.81
"177",2016-03-02,33332521.65
"178",2016-03-03,34356005.28
"179",2016-03-04,36444439.81
"180",2016-03-07,36617323.03
"181",2016-03-08,36046267.14
"182",2016-03-09,36087368.85
"183",2016-03-10,35585273.97
"184",2016-03-11,36202463.4
"185",2016-03-14,36362444.24
"186",2016-03-15,36189399.64
"187",2016-03-16,36187144.73
"188",2016-03-17,36128404.31
"189",2016-03-18,36284244.8
"190",2016-03-21,36476861.43
"191",2016-03-22,36511843.37
"192",2016-03-23,36439435.78
"193",2016-03-24,36073201.86
"194",2016-03-29,36285270.52
"195",2016-03-30,36380912.85
"196",2016-03-31,36085781.12
"197",2016-04-01,35994531.89
"198",2016-04-04,35965147.04
"199",2016-04-05,35446986.58
"200",2016-04-06,35810465.01
"201",2016-04-07,35526470.34
"202",2016-04-08,35739458.14
"203",2016-04-11,35790195.53
"204",2016-04-12,36180633.3
"205",2016-04-13,36994251.62
"206",2016-04-14,36967612.16
"207",2016-04-15,36791911.56
"208",2016-04-18,36987012.33
"209",2016-04-19,37332514.7
"210",2016-04-20,37524960.29
"211",2016-04-21,37518401.81
"212",2016-04-22,37565409.69
"213",2016-04-25,37347438.12
"214",2016-04-26,37341336.37
"215",2016-04-27,37430727.75
"216",2016-04-28,37230282.45
"217",2016-04-29,36334699.87
"218",2016-05-02,36330018.06
"219",2016-05-03,35866839.52
"220",2016-05-04,35520046.71
"221",2016-05-06,35658742.35
"222",2016-05-09,35804018.2
"223",2016-05-10,36193297.05
"224",2016-05-11,35950567.5
"225",2016-05-12,35871243.3
"226",2016-05-13,36148642.62
"227",2016-05-17,36167857.86
"228",2016-05-18,36307259.07
"229",2016-05-19,36080884.3
"230",2016-05-20,36503071.02
"231",2016-05-23,36389968.29
"232",2016-05-24,37148151.8
"233",2016-05-25,37543874.23
"234",2016-05-26,37497825.39
